max iter: 1000 size: 100
"3" 4 1289 594 22 4
"4" 3 342 2067 129 0
"5" 1 24 530 408 5
"6" 0 2 107 31 31
"7" 0 0 1 1 1
----- l = 0.78
"2" "3" "4" "5" "6"
"1" 1 11 13 0 1
"2" 35 84 73 2 1
"3" 3 1140 742 27 1
"4" 9 254 2197 78 3
"5" 0 29 602 324 13
"6" 0 4 105 20 42
"7" 0 0 1 1 1
----- l = 0.79
"2" "3" "4" "5" "6"
"1" 1 15 8 2 0
"2" 23 107 64 1 0
"3" 4 1290 593 24 2
"4" 2 316 2099 124 0
"5" 2 35 505 422 4
"6" 0 3 113 37 18
"7" 0 0 1 1 1
----- l = 0.8
"2" "3" "4" "5" "6"
"1" 5 15 3 2 1
"2" 54 84 53 4 0
"3" 22 1381 471 37 2
"4" 24 416 1877 222 2
"5" 4 30 403 530 1
"6" 3 1 71 81 15
"7" 0 0 1 2 0
----- l = 0.81
"2" "3" "4" "5" "6"
"1" 3 11 9 2 1
"2" 54 87 49 5 0
"3" 29 1340 486 57 1
"4" 20 438 1765 305 13
"5" 1 34 302 627 4
"6" 1 1 54 87 28
"7" 0 0 0 3 0
----- l = 0.82
"2" "3" "4" "5" "6"
"1" 2 14 6 3 1
"2" 39 97 53 5 1
"3" 8 1434 415 53 3
"4" 7 508 1737 287 2
"5" 2 26 358 565 17
"6" 0 5 74 52 40
"7" 0 0 0 3 0
----- l = 0.83
"2" "3" "4" "5" "6"
"1" 3 14 5 1 3
"2" 51 99 44 1 0
"3" 13 1473 416 9 2
"4" 20 492 1943 83 3
"5" 5 66 525 364 8
"6" 0 9 98 43 21
"7" 0 0 0 3 0
----- l = 0.84
"2" "3" "4" "5" "6"
"1" 1 16 6 1 2
"2" 19 114 56 6 0
"3" 2 1366 511 30 4
"4" 3 398 1916 220 4
"5" 0 19 385 560 4
"6" 0 1 74 55 41
"7" 0 0 0 2 1
----- l = 0.85
"2" "3" "4" "5" "6"
"1" 2 15 7 1 1
"2" 36 76 80 1 2
"3" 4 1196 688 23 2
"4" 3 269 2201 68 0
"5" 0 22 594 346 6
"6" 0 1 101 37 32
"7" 0 0 1 1 1
----- l = 0.86
"2" "3" "4" "5" "6"
"1" 0 12 12 1 1
"2" 20 95 73 7 0
"3" 0 1224 646 42 1
"4" 4 283 2084 170 0
"5" 1 27 431 506 3
"6" 0 0 74 73 24
"7" 0 0 1 1 1
----- l = 0.87
"2" "3" "4" "5" "6"
"1" 1 17 5 3 0
"2" 26 112 51 6 0
"3" 3 1337 534 37 2
"4" 5 378 1968 184 6
"5" 0 37 395 525 11
"6" 0 1 78 63 29
"7" 0 0 0 2 1
----- l = 0.88
"2" "3" "4" "5" "6"
"1" 0 10 14 1 1
"2" 34 77 83 1 0
"3" 2 1266 621 23 1
"4" 0 318 2119 103 1
"5" 2 33 574 351 8
"6" 0 1 122 34 14
"7" 0 0 2 1 0
----- l = 0.89
"2" "3" "4" "5" "6"
"1" 3 12 9 0 2
"2" 52 86 52 5 0
"3" 13 1354 507 35 4
"4" 20 336 2004 179 2
"5" 1 33 401 531 2
"6" 1 2 73 63 32
"7" 0 0 1 1 1
----- l = 0.9
"2" "3" "4" "5" "6"
"1" 1 20 3 1 1
"2" 42 105 43 5 0
"3" 6 1555 316 36 0
"4" 5 655 1612 268 1
"5" 0 67 317 581 3
"6" 0 4 69 73 25
"7" 0 0 1 2 0
----- l = 0.91
"2" "3" "4" "5" "6"
"1" 4 12 8 1 1
"2" 28 96 67 3 1
"3" 8 1205 668 30 2
"4" 12 310 2009 204 6
"5" 0 25 437 503 3
"6" 0 0 82 75 14
"7" 0 0 1 1 1
----- l = 0.92
"2" "3" "4" "5" "6"
"1" 4 13 9 0 0
"2" 54 88 53 0 0
"3" 26 1314 563 10 0
"4" 11 381 2099 49 1
"5" 2 34 649 280 3
"6" 0 4 114 33 20
"7" 0 0 1 2 0
----- l = 0.93
"2" "3" "4" "5" "6"
"1" 3 15 7 1 0
"2" 51 93 50 1 0
"3" 22 1402 439 50 0
"4" 17 420 1876 227 1
"5" 2 43 353 567 3
"6" 0 5 57 91 18
"7" 0 0 0 3 0
----- l = 0.94
"2" "3" "4" "5" "6"
"1" 2 11 10 1 2
"2" 50 86 56 3 0
"3" 15 1396 468 31 3
"4" 17 391 1930 198 5
"5" 3 37 388 534 6
"6" 4 0 66 80 21
"7" 0 0 1 2 0
----- l = 0.95
"2" "3" "4" "5" "6"
"1" 3 10 12 0 1
"2" 43 76 72 4 0
"3" 7 1273 583 46 4
"4" 11 329 1987 207 7
"5" 0 34 414 509 11
"6" 0 3 70 55 43
"7" 0 0 0 2 1
----- l = 0.96
"2" "3" "4" "5" "6"
"1" 1 12 12 1 0
"2" 26 105 55 9 0
"3" 1 1362 494 53 3
"4" 2 401 1871 264 3
"5" 0 38 325 604 1
"6" 0 1 53 101 16
"7" 0 0 1 2 0
----- l = 0.97
"2" "3" "4" "5" "6"
"1" 2 15 5 2 2
"2" 49 100 41 5 0
"3" 13 1440 422 34 4
"4" 22 495 1777 233 14
