max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5" "6"
"4" 7 193 1644 125 2
"5" 0 32 302 446 4
"6" 0 4 65 57 30
"7" 0 0 1 2 0
----- l = 0.53
"2" "3" "4" "5" "6"
"1" 0 5 10 0 1
"2" 52 53 38 0 1
"3" 7 916 369 18 3
"4" 5 198 1645 118 5
"5" 2 18 325 431 8
"6" 0 4 62 46 44
"7" 0 0 0 2 1
----- l = 0.54
"2" "3" "4" "5" "6"
"1" 0 5 8 2 1
"2" 35 73 33 2 1
"3" 4 941 346 21 1
"4" 0 230 1631 109 1
"5" 0 29 307 440 8
"6" 0 0 80 41 35
"7" 0 0 1 2 0
----- l = 0.55
"2" "3" "4" "5" "6"
"1" 1 8 7 0 0
"2" 54 60 29 1 0
"3" 7 1001 291 14 0
"4" 8 291 1587 85 0
"5" 1 56 332 395 0
"6" 0 8 64 54 30
"7" 0 0 1 1 1
----- l = 0.56
"2" "3" "4" "5" "6"
"1" 0 9 4 2 1
"2" 61 52 31 0 0
"3" 5 871 409 24 4
"4" 5 206 1650 103 7
"5" 1 24 304 450 5
"6" 2 8 66 40 40
"7" 0 0 1 1 1
----- l = 0.57
"2" "3" "4" "5" "6"
"1" 1 5 9 0 1
"2" 64 27 52 1 0
"3" 16 775 509 9 4
"4" 5 116 1768 77 5
"5" 2 12 392 365 13
"6" 0 2 82 31 41
"7" 0 0 1 2 0
----- l = 0.58
"2" "3" "4" "5" "6"
"1" 0 8 7 0 1
"2" 46 64 31 2 1
"3" 6 995 288 22 2
"4" 2 276 1559 132 2
"5" 0 36 295 447 6
"6" 0 6 72 56 22
"7" 0 0 1 1 1
----- l = 0.59
"2" "3" "4" "5" "6"
"1" 0 10 6 0 0
"2" 42 70 31 1 0
"3" 8 958 330 13 4
"4" 1 259 1640 67 4
"5" 0 27 378 374 5
"6" 1 5 80 23 47
"7" 0 0 1 2 0
----- l = 0.6
"2" "3" "4" "5" "6"
"1" 1 8 7 0 0
"2" 56 60 23 5 0
"3" 6 967 303 37 0
