max iter: 1000 size: 100
----- l = 0.81
"1" "2" "3" "4" "5" "6"
"1" 5 1 3 1 0 0
"2" 3 17 16 12 3 0
"3" 0 4 509 79 8 0
"4" 1 4 49 500 16 0
"5" 0 0 15 28 141 0
"6" 0 0 0 4 5 6
----- l = 0.82
"1" "2" "3" "4" "5" "6"
"1" 5 2 3 0 0 0
"2" 1 19 13 14 4 0
"3" 0 1 524 66 9 0
"4" 0 2 65 486 17 0
"5" 0 0 10 30 144 0
"6" 0 0 0 4 6 5
----- l = 0.83
"1" "2" "3" "4" "5" "6"
"1" 4 2 3 1 0 0
"2" 0 19 18 12 1 1
"3" 0 2 502 84 12 0
"4" 0 1 47 504 18 0
"5" 0 0 4 35 145 0
"6" 0 0 0 2 8 5
----- l = 0.84
"1" "2" "3" "4" "5" "6"
"1" 4 0 3 3 0 0
"2" 0 11 28 11 1 0
"3" 1 0 518 77 4 0
"4" 0 0 70 489 11 0
"5" 0 0 12 30 142 0
"6" 0 0 1 5 4 5
----- l = 0.85
"1" "2" "3" "4" "5" "6"
"1" 4 2 2 2 0 0
"2" 0 11 20 17 3 0
"3" 0 1 503 86 10 0
"4" 0 0 66 485 18 1
"5" 0 1 8 38 137 0
"6" 0 0 0 5 4 6
----- l = 0.86
"1" "2" "3" "4" "5" "6"
"1" 5 0 4 0 1 0
"2" 0 17 17 14 3 0
"3" 0 1 506 79 13 1
"4" 0 2 49 503 16 0
"5" 0 2 6 29 147 0
"6" 0 0 1 2 8 4
----- l = 0.87
"1" "2" "3" "4" "5" "6"
"1" 3 0 4 3 0 0
"2" 0 17 22 12 0 0
"3" 0 1 526 68 5 0
"4" 0 2 70 491 5 2
"5" 0 0 10 48 126 0
"6" 0 0 0 5 4 6
----- l = 0.88
"1" "2" "3" "4" "5" "6"
"1" 6 0 3 1 0 0
"2" 1 8 25 16 1 0
"3" 1 0 529 67 3 0
"4" 0 0 69 495 6 0
"5" 0 0 12 44 128 0
"6" 0 0 0 4 6 5
----- l = 0.89
"1" "2" "3" "4" "5" "6"
"1" 5 0 4 1 0 0
"2" 0 17 14 19 1 0
"3" 0 2 514 69 14 1
"4" 1 0 43 501 25 0
"5" 0 0 3 22 159 0
"6" 0 0 0 4 7 4
----- l = 0.9
"1" "2" "3" "4" "5" "6"
"1" 5 0 2 2 1 0
"2" 1 11 24 15 0 0
"3" 1 1 520 71 7 0
"4" 0 0 65 487 18 0
"5" 0 0 10 20 154 0
"6" 0 0 0 5 4 6
----- l = 0.91
"1" "2" "3" "4" "5" "6"
"1" 5 0 2 2 1 0
"2" 0 12 25 12 2 0
"3" 0 0 537 46 15 2
"4" 1 0 57 496 16 0
